id,Max Value,Place,Longitude,Latitude
1,1327512.36221,Katanapan Point-Cagayan Valley,121.156,19.392
2,1262860.15324,Katanapan Point-Cagayan Valley,121.156,19.4
3,1253266.53637,Cabudadan-Cagayan Valley,121.444,19.352
4,1244616.1615,Cape Bojeador-Ilocos,119.996,18.936
5,1223701.93723,Cape Bojeador-Ilocos,119.988,18.936
6,1197975.16676,Katanapan Point-Cagayan Valley,121.148,19.408
7,1186722.44419,Cabudadan-Cagayan Valley,121.444,19.344
8,1179809.84815,Katanapan Point-Cagayan Valley,121.148,19.4
9,1148528.01435,Katanapan Point-Cagayan Valley,121.18,19.384
10,1127088.12284,cannot be geocoded,119.964,18.944
